protocol,feature_set,seed,model_seed,fold,train_user,test_user,train_session,val_session,test_session,best_epoch,num_train,num_val,num_test,accuracy,segment_cosine,reversed_segment_cosine,shifted_segment_cosine,order_margin_reversed,target_mse,class_prototype_cosine,residual_best_epoch,residual_segment_cosine,residual_reversed_segment_cosine,residual_order_margin_reversed,residual_target_mse
session,all,42,42,0,ALL,ALL,SES03,SES02,SES01,105,1000,1000,1000,0.221,0.245300218462944,0.0039121890440583,0.0586313977837562,0.2413880079984665,1.5093997716903689,0.7898553609848022,123.0,0.1240332424640655,0.0208461340516805,0.1031871065497398,1.7519336938858032
session,all,42,43,1,ALL,ALL,SES01,SES03,SES02,131,1000,1000,1000,0.258,0.368874043226242,-0.0019232420017942,0.0454235635697841,0.3707972466945648,1.2622519731521606,0.7991700172424316,83.0,0.1647080183029174,0.031113214790821,0.1335947960615158,1.6705840826034546
session,all,42,44,2,ALL,ALL,SES02,SES01,SES03,125,1000,1000,1000,0.356,0.3536209166049957,-0.0256169829517602,0.0200593080371618,0.3792378604412079,1.2927583456039429,0.7953013777732849,92.0,0.1650897860527038,0.032908622175455,0.1321811527013778,1.6698205471038818
session,s12,42,42,0,ALL,ALL,SES03,SES02,SES01,120,1000,1000,1000,0.093,0.1667152047157287,-0.0023654233664274,0.0519854091107845,0.1690806150436401,1.666569709777832,0.7898553609848022,,,,,
session,s12,42,43,1,ALL,ALL,SES01,SES03,SES02,103,1000,1000,1000,0.212,0.2358055114746093,-0.0069252289831638,0.0397981740534305,0.2427307367324829,1.5283889770507812,0.7991700172424316,,,,,
session,s12,42,44,2,ALL,ALL,SES02,SES01,SES03,117,1000,1000,1000,0.13,0.1644542515277862,-0.0085389055311679,0.011828820221126,0.1729931384325027,1.6710916757583618,0.7953013777732849,,,,,
session,s32,42,42,0,ALL,ALL,SES03,SES02,SES01,187,1000,1000,1000,0.217,0.2133140712976455,0.0033546925988048,0.0468289218842983,0.2099593579769134,1.5733720064163208,0.7898553609848022,,,,,
session,s32,42,43,1,ALL,ALL,SES01,SES03,SES02,65,1000,1000,1000,0.194,0.2548582851886749,0.0056721805594861,0.0405551418662071,0.249186098575592,1.490283489227295,0.7991700172424316,,,,,
session,s32,42,44,2,ALL,ALL,SES02,SES01,SES03,94,1000,1000,1000,0.436,0.3782851099967956,-0.0230358224362134,0.0174068473279476,0.4013209342956543,1.2434298992156982,0.7953013777732849,,,,,
session,magnitude,42,42,0,ALL,ALL,SES03,SES02,SES01,190,1000,1000,1000,0.192,0.2101024687290191,-0.0172866154462099,0.048227310180664,0.2273890823125839,1.579795241355896,0.7898553609848022,,,,,
session,magnitude,42,43,1,ALL,ALL,SES01,SES03,SES02,89,1000,1000,1000,0.266,0.2710048854351043,-0.0217719823122024,0.0106047196313738,0.2927769124507904,1.457990288734436,0.7991700172424316,,,,,
session,magnitude,42,44,2,ALL,ALL,SES02,SES01,SES03,121,1000,1000,1000,0.354,0.2932518124580383,-0.0195873565971851,0.0124781522899866,0.312839150428772,1.413496494293213,0.7953013777732849,,,,,
session,delta,42,42,0,ALL,ALL,SES03,SES02,SES01,117,1000,1000,1000,0.106,0.1650919020175933,0.0161429122090339,0.067191757261753,0.1489489823579788,1.669816255569458,0.7898553609848022,,,,,
session,delta,42,43,1,ALL,ALL,SES01,SES03,SES02,104,1000,1000,1000,0.192,0.1747781783342361,0.013844858855009,0.0742340609431266,0.1609333008527755,1.6504437923431396,0.7991700172424316,,,,,
session,delta,42,44,2,ALL,ALL,SES02,SES01,SES03,97,1000,1000,1000,0.2,0.1891539692878723,0.0246541947126388,0.0722676292061805,0.1644997596740722,1.621692180633545,0.7953013777732849,,,,,
