protocol,metric,mean,unit_bootstrap_95_low,unit_bootstrap_95_high,mean_within_unit_seed_sd,held_out_units,seeds
session,accuracy,0.2872222222222222,0.19899999999999998,0.36966666666666664,0.024614505262800082,3,3
session,segment_cosine,0.32731055054399705,0.2595549573500951,0.3632534643014272,0.008572958228897013,3,3
session,order_margin_reversed,0.33923741347259945,0.26195726295312244,0.38632909456888836,0.009962045915181955,3,3
session,residual_segment_cosine,0.15354800472656882,0.12792256722847617,0.16892730196317032,0.0037861702764129443,3,3
session,residual_order_margin_reversed,0.12207669681972926,0.10396568725506462,0.13554676373799637,0.006137782480082984,3,3
subject,accuracy,0.029999999999999968,0.02577777777777777,0.03422222222222217,0.002971505246795398,2,3
subject,segment_cosine,-0.01373915925311542,-0.0232900874689221,-0.004188231037308734,0.018311034790592463,2,3
subject,order_margin_reversed,-0.011581153031632601,-0.027558302817245302,0.0043959967539801,0.011887974221725614,2,3
subject,residual_segment_cosine,0.030472521825383053,0.020232502060631864,0.04071254159013423,0.00966010842771034,2,3
subject,residual_order_margin_reversed,0.0046526674802104505,-0.010544757048288932,0.019850092008709835,0.004366879969523724,2,3
