analysis,representation,r2,baseline_r2,delta_r2,correlation,order_margin,boundary_gain_vs_uniform
direct_main,all_modalities,0.4283925846219062,0.3962689936161041,0.03212359100580212,0.6607635530568373,0.35226726546882625,-0.0021421819925308283
direct_main,attention_temporal_student,0.4157961919903755,0.3962689936161041,0.019527198374271373,0.6548701780813174,0.34492173283704264,-0.0037521660327911044
direct_main,contactless_nonlip,0.42490320205688475,0.3962689936161041,0.028634208440780615,0.6584018826380101,0.34611686156915955,-0.0014051809906959478
direct_main,laser,0.4257421553134918,0.40724109262228014,0.018501062691211677,0.6630631462743848,0.31937831560650576,-0.0011007279157638113
direct_main,lip,0.399407847225666,0.4074629038572311,-0.008055056631565074,0.6529370308475062,0.3140529854288587,-0.00801337510347365
direct_main,mmwave,0.40552852898836134,0.3964405953884125,0.00908793359994885,0.6464759258404513,0.3062974444196579,-0.00042341053485868765
direct_main,multitask_temporal_student,0.4113752946257591,0.3962689936161041,0.01510630100965495,0.649625256311732,0.34166571833258147,-0.0015450730919838
direct_main,uwb,0.4252280205488205,0.4074629038572311,0.01776511669158931,0.6626714143232159,0.32636249768438247,0.0017220377922057967
uniform_matched,all_modalities,0.4708194091916084,0.4365536361932754,0.03426577299833295,0.6924903266849636,0.3475729900454358,
uniform_matched,attention_temporal_student,0.45983300060033794,0.4365536361932754,0.023279364407062478,0.686637857202869,0.3415144164873433,
uniform_matched,contactless_nonlip,0.466593025624752,0.4365536361932754,0.030039389431476562,0.6894403471612688,0.3412327898486203,
uniform_matched,laser,0.4745936915278435,0.4549919009208679,0.019601790606975488,0.6955382206746529,0.3169559394784434,
uniform_matched,lip,0.455181610584259,0.45522329211235046,-4.1681528091424895e-05,0.6874744189979637,0.31328698576690195,
uniform_matched,mmwave,0.44621193856000896,0.43670059442520137,0.009511344134807538,0.6770410352144282,0.30020331504168446,
uniform_matched,multitask_temporal_student,0.4532050102949142,0.4365536361932754,0.01665137410163875,0.6807526829957513,0.33736273479469725,
uniform_matched,uwb,0.47126637101173396,0.45522329211235046,0.016043078899383514,0.6928019436982146,0.3253143304847378,
direct_lenient,all_modalities,0.4233341917395591,0.3946674272418022,0.028666764497756923,0.660935755317981,0.35785518696370033,
direct_lenient,attention_temporal_student,0.41263025552034377,0.3946674272418022,0.017962828278541537,0.654229036164732,0.3501630348896232,
direct_lenient,contactless_nonlip,0.4200324475765228,0.3946674272418022,0.025365020334720573,0.6584080443304479,0.35215404411876183,
direct_lenient,laser,0.42482168823480604,0.40793353915214536,0.016888149082660613,0.6622908438557678,0.3295788360900446,
direct_lenient,lip,0.4029367119073868,0.40877263993024826,-0.0058359280228614755,0.6535361155685957,0.31987218131560763,
direct_lenient,mmwave,0.4035454139113426,0.3957005858421326,0.007844828069210025,0.6477347677292248,0.31619312634441593,
direct_lenient,multitask_temporal_student,0.4082359477877617,0.3946674272418022,0.013568520545959438,0.6502049593215038,0.3480202316987131,
direct_lenient,uwb,0.4256238922476768,0.40877263993024826,0.01685125231742855,0.6620336513440801,0.3351484522888348,
direct_strict_cv,all_modalities,0.4697510749101639,0.43197434842586513,0.037776726484298674,0.6924437510676427,0.37254066744448144,
direct_strict_cv,attention_temporal_student,0.460433267056942,0.43197434842586513,0.028458918631076763,0.6852412276236914,0.3611477070880234,
direct_strict_cv,contactless_nonlip,0.46627250164747236,0.43197434842586513,0.03429815322160719,0.6891088717472035,0.36724857259825244,
direct_strict_cv,laser,0.4556693211197853,0.4341681286692619,0.021501192450523336,0.6866904635286541,0.3383091933864225,
direct_strict_cv,lip,0.4310261994600296,0.43326632678508753,-0.0022401273250579625,0.6787215507238964,0.32629822029320954,
direct_strict_cv,mmwave,0.44291145801544185,0.43092140853405,0.011990049481391875,0.6767831254532635,0.3264583173706315,
direct_strict_cv,multitask_temporal_student,0.451098483800888,0.43197434842586513,0.019124135375022836,0.680731896570939,0.3611763752798746,
direct_strict_cv,uwb,0.45358997136354445,0.43326632678508753,0.020323644578456826,0.686623821882544,0.34339078944141616,
